Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	09 Cataluña	08 Barcelona	Viajero	Total 		2023M09	1.231.473
Total Nacional	09 Cataluña	08 Barcelona	Viajero	Total 	Residentes en España	2023M09	293.697
Total Nacional	09 Cataluña	08 Barcelona	Viajero	Total 	Residentes en el Extranjero	2023M09	937.777
Total Nacional	09 Cataluña	08 Barcelona	Pernoctaciones	Total 		2023M09	3.409.673
Total Nacional	09 Cataluña	08 Barcelona	Pernoctaciones	Total 	Residentes en España	2023M09	564.658
Total Nacional	09 Cataluña	08 Barcelona	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	2.845.014
Total Nacional	09 Cataluña	17 Girona	Viajero	Total 		2023M09	498.584
Total Nacional	09 Cataluña	17 Girona	Viajero	Total 	Residentes en España	2023M09	185.079
Total Nacional	09 Cataluña	17 Girona	Viajero	Total 	Residentes en el Extranjero	2023M09	313.506
Total Nacional	09 Cataluña	17 Girona	Pernoctaciones	Total 		2023M09	1.597.521
Total Nacional	09 Cataluña	17 Girona	Pernoctaciones	Total 	Residentes en España	2023M09	386.792
Total Nacional	09 Cataluña	17 Girona	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	1.210.729
Total Nacional	09 Cataluña	25 Lleida	Viajero	Total 		2023M09	79.196
Total Nacional	09 Cataluña	25 Lleida	Viajero	Total 	Residentes en España	2023M09	58.116
Total Nacional	09 Cataluña	25 Lleida	Viajero	Total 	Residentes en el Extranjero	2023M09	21.080
Total Nacional	09 Cataluña	25 Lleida	Pernoctaciones	Total 		2023M09	152.480
Total Nacional	09 Cataluña	25 Lleida	Pernoctaciones	Total 	Residentes en España	2023M09	112.708
Total Nacional	09 Cataluña	25 Lleida	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	39.772
Total Nacional	09 Cataluña	43 Tarragona	Viajero	Total 		2023M09	405.244
Total Nacional	09 Cataluña	43 Tarragona	Viajero	Total 	Residentes en España	2023M09	226.145
Total Nacional	09 Cataluña	43 Tarragona	Viajero	Total 	Residentes en el Extranjero	2023M09	179.099
Total Nacional	09 Cataluña	43 Tarragona	Pernoctaciones	Total 		2023M09	1.499.641
Total Nacional	09 Cataluña	43 Tarragona	Pernoctaciones	Total 	Residentes en España	2023M09	552.060
Total Nacional	09 Cataluña	43 Tarragona	Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	947.581
Total Nacional	10 Comunitat Valenciana		Viajero	Total 		2023M09	878.343
Total Nacional	10 Comunitat Valenciana		Viajero	Total 	Residentes en España	2023M09	469.386
Total Nacional	10 Comunitat Valenciana		Viajero	Total 	Residentes en el Extranjero	2023M09	408.957
Total Nacional	10 Comunitat Valenciana		Pernoctaciones	Total 		2023M09	2.913.239
Total Nacional	10 Comunitat Valenciana		Pernoctaciones	Total 	Residentes en España	2023M09	1.399.222
Total Nacional	10 Comunitat Valenciana		Pernoctaciones	Total 	Residentes en el Extranjero	2023M09	1.514.018
Total Nacional	10 Comunitat Valenciana	03 Alicante/Alacant	Viajero	Total 		2023M09	428.389
Total Nacional	10 Comunitat Valenciana	03 Alicante/Alacant	Viajero	Total 	Residentes en España	2023M09	196.753
