Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 	Residentes en España	2022M03	232.877
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 	Residentes en España	2022M02	255.860
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 	Residentes en España	2022M01	195.488
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 	Residentes en el Extranjero	2022M06	185.199
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 	Residentes en el Extranjero	2022M05	204.107
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 	Residentes en el Extranjero	2022M04	199.768
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 	Residentes en el Extranjero	2022M03	130.079
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 	Residentes en el Extranjero	2022M02	93.690
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total 	Residentes en el Extranjero	2022M01	81.907
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 		2022M06	147.689
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 		2022M05	125.572
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 		2022M04	86.553
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 		2022M03	37.305
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 		2022M02	33.338
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 		2022M01	18.769
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 	Residentes en España	2022M06	112.339
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 	Residentes en España	2022M05	99.375
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 	Residentes en España	2022M04	67.411
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 	Residentes en España	2022M03	29.366
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 	Residentes en España	2022M02	29.081
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 	Residentes en España	2022M01	16.276
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total 	Residentes en el Extranjero	2022M06	35.350
